adj,100th,NONSHIFTER,GOLD_STANDARD
adj,11th,NONSHIFTER,GOLD_STANDARD
adj,12th,NONSHIFTER,GOLD_STANDARD
adj,1st,NONSHIFTER,GOLD_STANDARD
adj,200th,NONSHIFTER,GOLD_STANDARD
adj,23rd,NONSHIFTER,GOLD_STANDARD
adj,24th,NONSHIFTER,GOLD_STANDARD
adj,27th,NONSHIFTER,GOLD_STANDARD
adj,2nd,NONSHIFTER,GOLD_STANDARD
adj,32nd,NONSHIFTER,GOLD_STANDARD
adj,35th,NONSHIFTER,GOLD_STANDARD
adj,36th,NONSHIFTER,GOLD_STANDARD
adj,38th,NONSHIFTER,GOLD_STANDARD
adj,3rd,NONSHIFTER,GOLD_STANDARD
adj,43rd,NONSHIFTER,GOLD_STANDARD
adj,8th,NONSHIFTER,GOLD_STANDARD
adj,abandoned,SHIFTER,GOLD_STANDARD
adj,abatable,SHIFTER,BOOTSTRAPPED
adj,abatic,NONSHIFTER,BOOTSTRAPPED
adj,abbreviated,NONSHIFTER,GOLD_STANDARD
adj,aberrant,NONSHIFTER,BOOTSTRAPPED
adj,ablated,SHIFTER,BOOTSTRAPPED
adj,ablative,NONSHIFTER,BOOTSTRAPPED
adj,able-bodied,NONSHIFTER,GOLD_STANDARD
adj,abolishable,SHIFTER,BOOTSTRAPPED
adj,abortive,SHIFTER,BOOTSTRAPPED
adj,abrupt,NONSHIFTER,GOLD_STANDARD
adj,absent,SHIFTER,BOOTSTRAPPED
adj,absolved,SHIFTER,BOOTSTRAPPED
adj,abstract,NONSHIFTER,BOOTSTRAPPED
adj,abstracted,NONSHIFTER,BOOTSTRAPPED
adj,abstractive,NONSHIFTER,BOOTSTRAPPED
adj,absurd,NONSHIFTER,GOLD_STANDARD
adj,abundant,NONSHIFTER,GOLD_STANDARD
adj,abused,NONSHIFTER,GOLD_STANDARD
adj,abusive,NONSHIFTER,GOLD_STANDARD
adj,abysmal,NONSHIFTER,GOLD_STANDARD
adj,accessible,NONSHIFTER,GOLD_STANDARD
adj,accidental,SHIFTER,BOOTSTRAPPED
adj,accustomed,NONSHIFTER,GOLD_STANDARD
adj,achy,NONSHIFTER,GOLD_STANDARD
adj,acidic,NONSHIFTER,GOLD_STANDARD
adj,acknowledged,NONSHIFTER,GOLD_STANDARD
adj,acoustic,NONSHIFTER,GOLD_STANDARD
adj,acoustical,NONSHIFTER,GOLD_STANDARD
adj,active,NONSHIFTER,GOLD_STANDARD
adj,actual,NONSHIFTER,GOLD_STANDARD
adj,ad-lib,NONSHIFTER,GOLD_STANDARD
adj,adaptable,NONSHIFTER,GOLD_STANDARD
adj,additional,NONSHIFTER,GOLD_STANDARD
adj,adequate,NONSHIFTER,GOLD_STANDARD
adj,adopted,NONSHIFTER,GOLD_STANDARD
adj,adulterant,NONSHIFTER,BOOTSTRAPPED
adj,adulterate,SHIFTER,BOOTSTRAPPED
adj,adulterated,SHIFTER,BOOTSTRAPPED
